ts	phase	decision	why	evidence	result
2026-09-17T14:40:00Z	P5	开启 v2 后拒绝 pages[] 写入与直接恢复历史页面，历史措辞改走 restore_as_manual_note	直接写页面会让没有 claim 支撑的文字进入 Wiki，恢复页面文字会让被替代的措辞先被读到而胜出	docs/adr/0001-claim-is-authoritative-page-is-projection.md	X04 通过
2026-09-17T14:40:00Z	P5	本地 /lw 增加 knowledge-prepare 与 --candidates 的离线提取路径	驱动 /lw 的 agent 本身就是模型，这条路不需要 API key 也能完成一次真实摄取	skills/lw/scripts/wiki.py	X02 在 llm_wiki_mcp 不可导入的子进程里通过
2026-09-17T14:40:00Z	audit	发现 id 宽度契约自相矛盾：内容摘要生成 64 位而 pattern 只收 32 位	自己铸造的地址无法被自己校验引用，子代理为此加了一层截断别名绕开它	knowledge_types.py 的 _DIGEST	pattern 接受两种宽度，流水线里的绕行代码删除
2026-09-17T14:40:00Z	audit	发现幂等键在 base_version 前进后把重试判成不同请求，崩溃恢复会永久卡住	迁移子代理实测复现：重跑永远抛 IdempotencyError，且重试不会有进展	claim_store.py 的 intent_hash	同意图重试取回已提交结果，不同意图仍拒绝，不新增版本
2026-09-17T14:40:00Z	audit	发现 review_decisions 缺 request_hash 列，任何审核动作都不可达	V01–V03 三个用例直接抛 OperationalError，说明审核路径此前从未真正跑过	claim_store.py 建表与 INSERT	补列并加 _add_missing_columns，V01–V03 通过
2026-09-17T14:40:00Z	audit	发现未知顶层字段的 ChangeSet 被部分写入，v1 的 pages[] 可以夹带进来	绕过 claim 层的写入正是规格禁止的那一条，部分应用比整体拒绝更危险	claim_store.py 的 CHANGE_SET_FIELDS 白名单	M03 形状断言通过，v1 载荷整体被拒
2026-09-17T14:40:00Z	verify	渲染器接到用例层，新页面总是排队，已存在页面只在受影响时重建	接上之前 ingest 报 completed 却没有任何页面，属实测发现的断路	knowledge_service.py::projection_renderer	实测页面落到磁盘，manifest 指向 claim 版本
2026-09-17T14:40:00Z	verify	删掉子代理为绕开 id 宽度而写的测试断言，改成断言引用与注册地址相同	该断言与它自己的测试名矛盾，留着就是把绕行固化成契约	tests/test_knowledge_extraction.py	34 个用例仍全绿
2026-09-17T14:40:00Z	verify	修掉基线里唯一的未解释失败：测试自己泄漏 sqlite 连接	验收清单要求没有新增未解释失败，基线的那个也不该留着	tests/test_auth.py 改用 contextlib.closing	auth 用例通过
2026-09-17T14:40:00Z	verify	v1 页面链路保持不动，v2 编排放进新文件 knowledge_pipeline.py	规格明确禁止把 run_routed 改成表面返回 pages 内部写 Claim 的函数	git diff ba0d4bd 对 wiki_pipeline.py/core.py/store.py 为空	R1 约束满足
2026-09-17T14:40:00Z	verify	全量套件 298 个用例全绿，生成副本与 canonical 字节一致	完成定义的前两条可证伪断言	reports/test-baseline.md	298 通过 0 失败 0 跳过，--check 无 stale
2026-09-17T14:40:00Z	open	真实模型 holdout 三次运行未执行，真实材料 gold 未人工确认	缺 API key，且机器不能给自己签收质量标签	reports/knowledge-v2/release-report.md 第 5 节	标注未执行，且 run_eval 缺条件时拒绝出报告
2026-09-17T15:00:00Z	audit	发现未注册 run 时带 dropped 候选的提交被外键整体挡住	stage_artifacts 的 run_id 外键指向 ingest_runs，而 DROP 是知识判断不是运行产物	dispositions 表	提交成功，理由码可按项目读回
2026-09-17T15:02:00Z	audit	发现审核动作里那条多余的运行产物审计让未注册 run 的审核永远无法解决	review_decisions 已经是完整审计，多写的一行 stage_artifacts 反而成了阻断	claim_store.py::review_action	retain 不再写任何运行产物，V01 改读 review_decisions
2026-09-17T15:06:00Z	audit	发现生产 MCP 从没注册出 v2 工具	create_remote_mcp 加了参数但 create_company_mcp 没传，线上五个工具全部不可达	server.py::create_company_mcp	适配层测试断言之，8 个用例通过
2026-09-17T15:08:00Z	audit	发现两个同名的 EvidenceError，Web 层捕获的是另一个类	证据错误会漏成 500，而不是带错误码的 409	knowledge_types 定义、evidence 再导出	同一类，except 全都能抓到
2026-09-17T15:10:00Z	audit	发现 Web 的 v2 路由 pattern 只收 32 位十六进制	evidence id 是 64 位，该路由对真实 id 永远匹配不上，只对不存在的 id 匹配	webapp.py 的 _ID_DIGEST	同时接受两种宽度
2026-09-17T15:12:00Z	verify	全量套件 306 个用例全绿，56/56 用例映射不变	完成定义的前两条可证伪断言	reports/test-baseline.md	306 通过 0 失败 0 跳过
2026-09-17T16:00:00Z	audit	独立复核指出 id 宽度是容忍而不是修复，宽度的不变量没有被守住	截断让碰撞可触及，第二份宽度定义在 webapp 里，两种宽度并存使「地址是什么」没有答案	docs/adr/0004-one-width-per-address-space.md	一空间一宽度，两个常量唯一定义，宽度测试守住
2026-09-17T16:05:00Z	audit	补上 §2.5 的来源血缘：转贴不算第二个独立见证	规格禁止用复制次数提升可信度，而血缘此前完全没有实现	claim_store.py::support_lineage 与 reposted_sources	同内容两组只算一个见证，测试覆盖
2026-09-17T16:08:00Z	audit	补上 §8.4 的 REVIEW 负担指标，并明确它不是门槛	规格把它列为观察项，不是可以自动压队列的配额	metrics.review_burden	比例、每材料组待审、合组卡片数，均不参与放行判定
2026-09-17T16:12:00Z	audit	补一份 URL 之外的 ADR 记录 id 宽度决定	这是外部可见的永久契约变更，只写在流水里不够	docs/adr/0004	已采纳
2026-09-17T16:15:00Z	audit	在发布报告里逐条列出未实现的规格条款与设计偏离	复核指出 §4.5 修复上限与重试计数、§8.3 对照、§5.1 core/store 归属既没实现也没列出	reports/knowledge-v2/release-report.md 第 6 节	6.1 偏离、6.2 未实现、6.3 局限分别成表
2026-09-17T16:20:00Z	verify	修正报告里对不上的模块行数，改为 wc -l 实测	复核指出 10 行里有 6 行与文件不符，其中 4 行偏高	reports/knowledge-v2/release-report.md 第 1 节	全部改为实测值
2026-09-17T16:25:00Z	verify	流水时间戳是事后补的，不是当时写的，在此说明	写入脚本给每一行盖了同一个时间戳，随后追加的行时间也与提交时刻不符；流水的时间轴不可信	write_trail.py 的 stamp 常量	如实标注：时间戳仅供排序，真实顺序见提交历史
2026-09-17T16:30:00Z	verify	冻结提交后连跑三次全量套件，用来判定复核提出的间歇失败	复核在编辑期间的多轮运行里看到 E06 与适配层用例间歇失败，需要判定是真 flake 还是编辑中间态	python -m unittest discover -s tests 连续三次	三次都是 323 通过 0 失败，判定为编辑中间态，非 flake
2026-09-17T16:45:00Z	verify	接上本地投影导出，把文档里记着的那条局限去掉	复核指出投影只写数据库，.llm-wiki/pages 没有调用点；手改检测有接口没出口	skills/lw/scripts/wiki.py::export_projections	实测导出、手改、再导出后文件保留且标记 manual
2026-09-17T17:00:00Z	verify	补上 §4.5 的重试上限与分开的计数器，并接到 run 状态机	规格要求分别计数且仍失败时显式停止；只有计数器不接状态机会是同一类「声称有其实没有」	knowledge_pipeline.AttemptBudget 与 run_status	预算耗尽时 run 为 failed，K11 断言随规格更新，批次带 error_code
2026-09-17T17:20:00Z	realrun	配置凭据后先跑零容忍边界探针，而不是直接跑 holdout	holdout 需要人工确认的 gold，而边界检查不需要；先证明规格禁止的事情没有发生	evals/knowledge_v2/real_model_probe.py	首轮六个用例里三个整批失败、一个拒绝全部
2026-09-17T17:25:00Z	realrun	把 key 从受版本控制的模板移到仓库外的 $LLM_WIKI_HOME/env	模板是 tracked 文件，一次 git add -A 就会把凭据写进历史；该 key 从未进入任何提交	docs/knowledge-v2/env.example 复原为空	加守卫测试：模板里的凭据变量必须为空、不得出现 key 形态
2026-09-17T17:40:00Z	realrun	发现并修掉 v2 角色请求被 v1 页面契约改写	传输层把角色请求塞进 evidence 并要求返回 pages，模型在两套矛盾契约间摇摆，三个用例整批失败；所有假模型测试都绕过了传输层	model.py::is_role_request	输入 token 从约 1000 降到约 680，三个失败用例中的两个转绿
2026-09-17T17:50:00Z	realrun	发现 adopted 永远无法通过校验	adopted 需要快照里有 adoption_record 而没有任何组件生产它，材料自己写着「决定…」也只能停在提议	knowledge_pipeline::ADOPTION_PATTERNS	材料原文带采用标记时材料本身即采用记录，提议仍是提议
2026-09-17T18:00:00Z	realrun	发现 _covered 的词面大小写不一致使含产品名的陈述全被拒	词面提取时转小写，匹配却区分大小写；从材料逐字抄出的句子被判成五个词缺三个	knowledge_pipeline::_contains	该案例通过，五个用例转绿
2026-09-17T18:10:00Z	realrun	发现否定检测把疑问句与「材料包含该句」都读成否认	会不会是 A-not-A 疑问形式，尚未签署否定的是签署而不是前一句陈述；词距分不开，包含关系可以	ANOT_A_RE 与 _denial 的包围检查	两个方向各三条用例全部正确
2026-09-17T18:20:00Z	realrun	限定词检查保留材料级广度，放弃收窄到句子	尝试收窄后 K04 的负例会被发布成普适结论，而失败方向不可接受；同主题不同谓述无法用词面分开	tests/test_knowledge_extraction.py::QualifierTests	代价是同主题误报走 REVIEW 而非丢弃，已记录为未关闭项
2026-09-17T18:30:00Z	realrun	真机探针最终结果：六组语料中五组零容忍边界全部成立	剩下的 qualifiers 全部进 REVIEW 没有发布，根因是规格 §4.3 要求的语义修复未实现	.scratch/knowledge-v2/real-probe-final.json	边界成立 5/6，未关闭项已写进发布报告 5.1 节
2026-09-18T01:00:00Z	corpus	语料改用材料目录构建，仓库只留路径与哈希	私有材料正文进仓库会让每次 clone 都成为它的副本；哈希可以在材料变动时报警	evals/knowledge_v2/corpus.json	35 组，29 真实，25 dev / 10 holdout，--verify 通过
2026-09-18T01:05:00Z	corpus	工具自动发现重复与部分导出的关系	BPv1.2 与 v1.3 字节相同、v1.4-4 是 v1.4 的前缀，而血缘与内容指纹规则针对的正是这两种情形	build_corpus.find_relations	两处关系由文件本身算出，不靠人记
2026-09-18T01:10:00Z	screen	语料构建时读一遍正文找凭据形态	路径规则抓不到写在设计笔记中间的 key；筛查结果写进 corpus.json 才叫证据	screen_material.py + corpus.screening	植入形态全部命中、占位示例降级；语料 35 文件 0 匹配
2026-09-18T01:12:00Z	screen	修掉 v1 凭据路径规则漏斜杠：src/ai-service/credentials.ts 会被读入	分隔符集合是 ^ . _ - 而没有 /，于是 credentials.ts 被跳过而下层目录里的同名文件被读，方向最危险	skills/lw/scripts/wiki.py 的 SECRET_PATTERNS	规则 fail closed，加测试与工具一致性断言
2026-09-18T01:14:00Z	screen	筛查器用植入样本自测	0 匹配也可能是规则失效；不先证明仪器能工作，0 匹配毫无意义	10 种植入形态	全部命中，含 URL 内嵌凭据与私钥块
2026-09-18T01:30:00Z	draft	草稿一律 draft_unconfirmed 并写明哪些字段是机器推导的	expected_meaning 抄自模型自己的 statement，拿它打分等于让模型自己判卷	draft_gold.py::draft_unit	266 条草稿，run_eval 仍拒绝出质量报告
2026-09-18T01:40:00Z	draft	发现待审问题是英文而材料是中文，改为按被审命题的语言选模板	问题正是人要照着做判断的东西；反过来英文项目也会遇到镜像问题	knowledge_pipeline.review_question	两种语言各一份，报告渲染时按 trigger_code 取，不必重跑模型
2026-09-18T01:45:00Z	draft	发现模型把步骤名写进 depends_on 时裸 ValueError 打掉整次运行	没有调用方把裸 ValueError 当契约错误接住；一个格式错误的步骤不该终止整轮	knowledge_types._step_number	数字或数字文本接受，其余以 INVALID_ATTRIBUTES 具名拒绝
2026-09-18T01:52:00Z	draft	商业计划五组跑完：266 条草稿，REVIEW 18.8%	这批材料的价值在于版本链，v1.0 到 v1.4 覆盖决定被修正与推翻的真实情形	reports/knowledge-v2/draft/*.md	发布 148、拒绝 59、丢弃 9、待审 50；决策/约束类只有 7 条
2026-09-18T02:10:00Z	review	复核页面做成单文件自包含 HTML，批注存浏览器本地，导出回读	批注要能离线完成，也要能回到流水线；页面里不放服务端，导出 JSON 就是接口	reports/knowledge-v2/review/index.html	266 条，导出后 apply_review 直接写标注
2026-09-18T02:15:00Z	review	不通过的不删除，单独记进 gold.rejected.jsonl 连同批注	标注的历史不可见就没法审计；规格也禁止为了指标好看而删样本	apply_review.reject	被拒草稿与理由留档
2026-09-18T02:18:00Z	review	零容忍单列成 critical_failures.jsonl 而不是揉进指标	规格说即使总指标达标，出现其中任何一项也不放行，所以它是评审的产出而不是算出来的指标	apply_review.main	勾选数量独立报告
2026-09-18T02:22:00Z	review	在浏览器里实际驱动页面验证：点击、批注、零容忍、筛选、导出、重载持久化	界面交付要跑真实界面，不能只验证生成脚本；file: 不能直接导航，于是起本地服务后驱动	screenshot + evaluate 断言	266 卡片渲染正确，计数与筛选联动，重载后批注仍在
2026-09-18T02:25:00Z	review	页面加本地存储回退与显式警告，并提供一键打开脚本	直接双击打开时浏览器可能禁止保存进度，一次刷新就丢一批批注；宁可提示也不要静默丢失	build_review_page 的 store 包装 + open_review.py	禁写时显示红色提示与推荐命令
