ts	phase	decision	why	evidence	result
2026-09-17T00:39:00Z	design	把「未选中不可修改」做成提交前校验 validate_routed_pages，而不是靠不给正文隐式保证	§7.8 的开放问题解法要求全部页面出现在目录里，既然给了全部身份，就必须真正确保未选中的改不动；否则目录成了一个可被利用的写入口	设计文档 §7.8；变异 M1 去掉即红	绿
2026-09-17T00:41:00Z	design	新增 wiki_prompts.py 管理两阶段 contract，model.py 按 payload 的 phase 分派	阶段问的是两个不同问题，contract 不同；放在传输层里会让 prompt 与它约束的 payload 分离	设计文档 §10	已交付
2026-09-17T00:43:00Z	design	否决把 Model 拆成 RouteModel 与 MergeModel 两个注入点	形状更干净但每个调用方与全部现有测试桩都要注入两次，而两阶段本来就来自同一个 provider	principle-laziness-protocol	单注入点，按 phase 分派
2026-09-17T00:45:00Z	design	目录分批而不截断：normalize_catalog 不设条目数或总量上限	设计文档 §7.4 要求超 500 页仍能完成候选检索；若在这里设上限就与分批自相矛盾	plan_catalog_slices 切片并取并集；520 页测试	绿
2026-09-17T00:50:00Z	review	plan_catalog_slices 的 budget 从默认参数改为每次调用解析	默认参数在定义时绑定，patch MAX_CATALOG_CHARS 会静默失效，测试因此测的是另一件事	修复前该测试通不过；改为 None 再取模块常量	已修
2026-09-17T00:52:00Z	review	路由 payload 的目录键从 catalog 统一为 page_catalog	pipeline 与 transport 用两个名字指同一个东西，是表示泄漏	修复前测试 KeyError page_catalog	已统一
2026-09-17T00:55:00Z	review	漏选退回从「selected 为空则退回」改为「package 为 None 则退回」，并让 run_routed 在空选择时不再发起合并调用	原实现先拿空页面集合做一次合并，那次调用什么也决定不了，纯浪费；同时两个条件在语义上重复	变异 M2 去掉退回即 2 个错误	已简化
2026-09-17T00:57:00Z	review	删掉空的目录特判，因为它在真实常量下不可达	空目录不会超过 40,000 字符阈值，所以「空目录时直投」与「低于阈值时直投」是同一结果；保留它就是一个无法被验证的分支	变异 M3 先为绿，改为让空目录发起路由后才变红	已删，测改为断言不发起路由
2026-09-17T01:00:00Z	review	变异测试暴露自己两条测试因错误原因通过：漏选退回与非对象响应	先怀疑观测方法。一条在修复回退后仍绿的测试，等于没有测试	M2 首次为 OK；重写为只对整份快照响应后才变红	已修正
2026-09-17T01:05:00Z	verify	自己动手对抗性复现 22 项，替代超时的子代理	子代理 600 秒超时无产出，验证不能因此跳过	/tmp/verify_p2.py	22 项全 PASS
2026-09-17T01:06:00Z	verify	三种绕过尝试均被拒或无害：材料来源背书、大小写变体 slug、换新 slug 复制	withheld 页若能用提交材料背书来源，就只剩 routed 校验这一道；实测被拒	验证输出 C3 三行	两种被拒，一种合法新页
2026-09-17T01:07:00Z	verify	确认 webapp / remote_mcp / remote_service 不读 aliases 也不受影响	新增字段只随 _page 只读流出；grep 三个消费者无命中	git grep	无回归
2026-09-17T01:08:00Z	verify	本地 CLI 仍可运行，三份分块器字节一致，服务端可导入	grep 与 shasum 都不足以证明分发包正确，要实际执行	python3 skills/lw/scripts/wiki.py --help；import llm_wiki_mcp.chunking	均通过
2026-09-17T01:10:00Z	verify	全量套件 172 通过；每个修复都做过变异验证	一个不可能失败的测试不是门禁	tests/ 全部	VERIFIED
2026-09-17T01:20:00Z	verify	对抗性复现发现能力触发不可达：snapshot_chars 走 normalize_existing_pages，超过 500 页时先抛错	若测量与限制走同一条路径，submit_mode 永远收不到那个页数，第二个子句就是死代码；501 页实测 CoreError	修复前 501 页抛 CoreError；M7 回退会让 OversizedProjectTests 变红	已修，测量改用不设上限的 _normalized_page
2026-09-17T01:22:00Z	verify	修复后重跑 22 项对抗性检查与 175 个测试	改一行也要重验	/tmp/verify_p2.py 全 PASS；tests/ 175 通过	VERIFIED
2026-09-17T01:30:00Z	review	run_routed 的返回从四个键收敛为 package 或 None	service 只读 package，mode/selected/routing_note 三个键没有任何消费者，属推测性结构；principle-laziness-protocol 要求最小改动面	修复后 grep 无消费者；175 测试与 22 项对抗检查仍全绿	已简化
2026-09-17T01:35:00Z	review	偏离自定计划：不实现 Python 侧候选召回评分函数，改为送完整目录（分批）由模型选	计划里写了「候选召回的评分函数」，但 D2 已定由模型从目录中选，且 §7.2 明确警告「不取前 N 页后当作全部」；客户端预过滤正是那条警告所指的失败模式	docs/weknora-llm-wiki-integration.md:261, :239；plan_catalog_slices 分批不丢弃	已按 D2 实现，计划此项作废
